iter	Passed	Remaining
559	1642	1290
560	1644	1287
561	1647	1284
562	1650	1281
563	1653	1278
564	1656	1275
565	1659	1272
566	1661	1269
567	1664	1265
568	1667	1262
569	1669	1259
570	1672	1256
571	1674	1253
572	1677	1250
573	1680	1247
574	1683	1244
575	1686	1241
576	1689	1238
577	1691	1235
578	1694	1232
579	1697	1228
580	1700	1226
581	1702	1223
582	1705	1219
583	1708	1216
584	1711	1213
585	1713	1210
586	1716	1207
587	1719	1204
588	1722	1201
589	1724	1198
590	1727	1195
591	1730	1192
592	1733	1189
593	1736	1186
594	1738	1183
595	1741	1180
596	1744	1177
597	1746	1174
598	1749	1171
599	1753	1168
600	1756	1165
601	1758	1162
602	1761	1159
603	1764	1156
604	1767	1153
605	1770	1151
606	1773	1148
607	1776	1145
608	1779	1142
609	1781	1139
610	1785	1136
611	1788	1133
612	1790	1130
613	1793	1127
614	1796	1124
615	1800	1122
616	1803	1119
617	1805	1116
618	1809	1113
619	1811	1110
620	1814	1107
621	1817	1104
622	1820	1101
623	1823	1098
624	1826	1095
625	1829	1092
626	1831	1089
627	1834	1086
628	1837	1083
629	1840	1081
630	1843	1078
631	1846	1075
632	1849	1072
633	1852	1069
634	1854	1066
635	1857	1063
636	1860	1060
637	1863	1057
638	1866	1054
639	1869	1051
640	1871	1048
641	1874	1045
642	1877	1042
643	1880	1039
644	1882	1036
645	1885	1033
646	1888	1030
647	1891	1027
648	1894	1024
649	1897	1021
650	1900	1018
651	1902	1015
652	1905	1012
653	1908	1009
654	1911	1006
655	1918	1006
656	1922	1003
657	1925	1001
658	1929	998
659	1935	997
660	1939	994
661	1942	991
662	1946	989
663	1948	986
664	1951	983
665	1954	980
666	1957	977
667	1960	974
668	1962	971
669	1965	968
670	1969	965
671	1972	962
672	1975	959
673	1978	957
674	1982	954
675	1985	951
676	1988	948
677	1991	945
678	1994	942
679	1997	940
680	2000	937
681	2003	934
682	2007	931
683	2010	928
684	2013	926
685	2016	923
686	2019	920
687	2023	917
688	2026	914
689	2029	911
690	2032	908
691	2035	906
692	2039	903
693	2042	900
694	2045	897
695	2048	894
696	2051	891
697	2054	888
698	2057	886
699	2061	883
700	2064	880
701	2066	877
702	2070	874
703	2073	871
704	2076	868
705	2079	866
706	2083	863
707	2086	860
708	2088	857
709	2091	854
710	2095	851
711	2097	848
712	2100	845
713	2104	842
714	2107	839
715	2109	836
716	2112	833
717	2115	830
718	2118	827
719	2120	824
720	2123	821
721	2126	818
722	2128	815
723	2131	812
724	2134	809
725	2137	806
726	2140	803
727	2142	800
728	2146	797
729	2148	794
730	2151	791
731	2153	788
732	2157	785
733	2159	782
734	2162	779
735	2165	776
736	2168	773
737	2171	770
738	2174	768
739	2178	765
740	2180	762
741	2183	759
742	2186	756
743	2189	753
744	2192	750
745	2195	747
746	2197	744
747	2200	741
748	2203	738
749	2206	735
750	2209	732
751	2211	729
752	2214	726
753	2217	723
754	2220	720
755	2223	717
756	2225	714
757	2228	711
758	2231	708
759	2233	705
760	2237	702
761	2240	699
762	2242	696
763	2245	693
764	2248	690
765	2251	687
766	2254	684
767	2257	681
768	2259	678
769	2262	675
770	2265	672
771	2267	669
772	2270	666
773	2273	663
774	2276	660
775	2278	657
776	2282	654
777	2284	651
778	2287	648
779	2290	645
780	2293	643
781	2296	640
782	2298	637
783	2301	633
784	2304	631
785	2307	628
786	2309	625
787	2312	622
788	2315	619
789	2317	616
790	2320	613
791	2322	610
792	2326	607
793	2329	604
794	2331	601
795	2334	598
796	2337	595
797	2340	592
798	2342	589
799	2345	586
800	2348	583
801	2350	580
802	2353	577
803	2356	574
804	2359	571
805	2362	568
806	2365	565
807	2368	562
808	2371	559
809	2373	556
810	2376	553
811	2379	550
812	2382	547
813	2385	545
814	2388	542
815	2391	539
816	2394	536
817	2397	533
818	2400	530
819	2404	527
820	2407	524
821	2410	521
822	2413	519
823	2416	516
824	2419	513
825	2423	510
826	2426	507
827	2429	504
828	2432	501
829	2435	498
830	2437	495
831	2440	492
832	2443	489
833	2446	486
834	2449	484
835	2452	481
836	2454	478
837	2457	475
838	2461	472
839	2464	469
840	2467	466
841	2471	463
842	2474	460
843	2477	457
844	2480	454
845	2482	451
846	2485	448
847	2488	445
848	2490	442
849	2494	440
850	2497	437
851	2499	434
852	2502	431
853	2505	428
854	2508	425
855	2510	422
856	2513	419
857	2516	416
858	2519	413
859	2522	410
860	2524	407
861	2527	404
862	2531	401
863	2537	399
864	2540	396
865	2543	393
866	2546	390
867	2549	387
868	2553	384
869	2555	381
870	2558	378
871	2561	376
872	2564	373
873	2567	370
874	2569	367
875	2572	364
876	2575	361
877	2577	358
878	2580	355
879	2583	352
880	2586	349
881	2589	346
882	2592	343
883	2594	340
884	2597	337
885	2601	334
886	2604	331
887	2607	328
888	2610	325
889	2612	322
890	2615	319
891	2618	317
892	2621	314
893	2624	311
894	2627	308
895	2630	305
896	2634	302
897	2637	299
898	2640	296
899	2643	293
900	2646	290
901	2649	287
902	2652	284
903	2655	281
904	2658	279
905	2661	276
906	2664	273
907	2667	270
908	2670	267
909	2673	264
910	2676	261
911	2679	258
912	2682	255
913	2685	252
914	2688	249
915	2691	246
916	2694	243
917	2697	240
918	2700	238
919	2703	235
920	2706	232
921	2709	229
922	2712	226
923	2715	223
924	2718	220
925	2721	217
926	2725	214
927	2732	211
928	2736	209
929	2739	206
930	2743	203
931	2746	200
932	2752	197
933	2756	194
934	2761	191
935	2764	189
936	2768	186
937	2771	183
938	2774	180
939	2777	177
940	2780	174
941	2783	171
942	2787	168
943	2790	165
944	2793	162
945	2796	159
946	2799	156
947	2802	153
948	2805	150
949	2808	147
950	2811	144
951	2814	141
952	2817	138
953	2820	136
954	2823	133
955	2826	130
956	2829	127
957	2832	124
958	2835	121
959	2838	118
960	2842	115
961	2844	112
962	2847	109
963	2850	106
964	2853	103
965	2857	100
966	2859	97
967	2863	94
968	2866	91
969	2869	88
970	2872	85
971	2875	82
972	2878	79
973	2881	76
974	2884	73
975	2887	71
976	2890	68
977	2893	65
978	2896	62
979	2900	59
980	2903	56
981	2907	53
982	2910	50
983	2913	47
984	2916	44
985	2920	41
986	2923	38
987	2926	35
988	2930	32
989	2933	29
990	2936	26
991	2939	23
992	2943	20
993	2946	17
994	2949	14
995	2952	11
996	2955	8
997	2958	5
998	2962	2
999	2965	0
