iter	RMSE
400	11136432.56
401	11127093.63
402	11113456.96
403	11093616.67
404	11072150.02
405	11054759.14
406	11043092.31
407	11031768.95
408	10988541.09
409	10947174.7
410	10931752.25
411	10914017.31
412	10901078.21
413	10880052.72
414	10867586.51
415	10854986.29
416	10818169.59
417	10809001.19
418	10785676.83
419	10750010.9
420	10708690.79
421	10692778.49
422	10658118.26
423	10649622.39
424	10640023.07
425	10621479.66
426	10598404.24
427	10579948.47
428	10578013.8
429	10557678.77
430	10549005.32
431	10527860.03
432	10495656.9
433	10481385.91
434	10460680.42
435	10421353.58
436	10400224.99
437	10382670.68
438	10365200.03
439	10358487.07
440	10354472.2
441	10348772.47
442	10323879
443	10300838.59
444	10283762.7
445	10263049.42
446	10259140.32
447	10255446.26
448	10222330.32
449	10206414.14
450	10182156.29
451	10161112.2
452	10143770.25
453	10123176.53
454	10115628.2
455	10090378.77
456	10082456.48
457	10069641.25
458	10062787.76
459	10043774.17
460	10028481.39
461	10022746.21
462	10005209.94
463	9979896.754
464	9972559.936
465	9945268.094
466	9935567.155
467	9905230.878
468	9883094.057
469	9862991.79
470	9853441.289
471	9821146.491
472	9804574.515
473	9767960.513
474	9750187.918
475	9739563.879
476	9728999.694
477	9713660.877
478	9688033.49
479	9671754.856
480	9657381.404
481	9645620.691
482	9620665.097
483	9610952.631
484	9597325.963
485	9585736.132
486	9571026.011
487	9557144.518
488	9535755.656
489	9513769.986
490	9504829.979
491	9474883.574
492	9461431.037
493	9448411.939
494	9430135.036
495	9411656.544
496	9404261.437
497	9391205.253
498	9384620.55
499	9375800.131
500	9352610.903
501	9345741.233
502	9315838.09
503	9294191.426
504	9269010.17
505	9252987.925
506	9232276.005
507	9223313.036
508	9209233.569
509	9196371.655
510	9183892.713
511	9171090.451
512	9161459.519
513	9148451.396
514	9135214.302
515	9116177.368
516	9108601.764
517	9096160
518	9093345.992
519	9088302.811
520	9078116.196
521	9064871.343
522	9053644.998
523	9042693.573
524	9031359.28
525	9017480.982
526	9005081.881
527	8987932.795
528	8973761.974
529	8967015.174
530	8963397.108
531	8944289.072
532	8930670.914
533	8922511.29
534	8916520.316
535	8901337.25
536	8896580.406
537	8886786.79
538	8872216.311
539	8860978.22
540	8851443.107
541	8837929.851
542	8821796.056
543	8804975.729
544	8801375.718
545	8799077.184
546	8786920.999
547	8781431.696
548	8770325.595
549	8759749.035
550	8746178.572
551	8736759.812
552	8717135.254
553	8704595.447
554	8701117.888
555	8689016.484
556	8678732.725
557	8660897.011
558	8652583.178
559	8638382.945
560	8628396.917
561	8613316.964
562	8610868.329
